task_id,priority,verification_status,claim_id,claim_text,citekey,title,source_block_id,page,locator_status,read_status,used_in_manuscript,risk,source_path,reader_display_path,source_map,snippet,next_action
verify-c001-cnki-2021-d35f8e895a-b0006,65,needs_page_locator,C001,图书馆短视频研究可从“平台运营策略”推进到“内容/设计因素与互动效果的实证分析”。,cnki_2021_d35f8e895a,图书馆短视频传播及互动效果影响因素模型及实证分析——基于“上瘾模型”的探索,cnki_2021_d35f8e895a:B0006,,page_pending,skimmed,false,needs_human_validation;page_locator_pending;page_missing,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/paper.md,paper_reading/views/paper-b30ed69c.html,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/source_map.json,近几年来，国内外学者对短视频的发展和应用展开了一系列的研究，主要集中在以下3个方面：①短视频平台的内容及推荐机制研究。例如，国外学者S. Wilk等提出了一种针对用户产生视频内容的质量评估算法[3];T. Tang等针对基于用户历史行为的视频推荐机制，提出了一个非传统模型的集合，包括基于压缩交互网络(CIN)的定制神经网络结构和基于经典SVD特征的梯度提升决策树(GDBTs)[4];Y. Liu等通过预测短视频的完播率和点赞率构建了一个,Open original PDF/Reader and fill exact page or table locator.
verify-c001-cnki-2021-d35f8e895a-b0009,65,needs_page_locator,C001,图书馆短视频研究可从“平台运营策略”推进到“内容/设计因素与互动效果的实证分析”。,cnki_2021_d35f8e895a,图书馆短视频传播及互动效果影响因素模型及实证分析——基于“上瘾模型”的探索,cnki_2021_d35f8e895a:B0009,,page_pending,skimmed,false,needs_human_validation;page_locator_pending;page_missing,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/paper.md,paper_reading/views/paper-b30ed69c.html,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/source_map.json,"本文基于互联网产品用户行为模型——“上瘾模型”,以抖音平台为例，总结出影响短视频传播及互动效果的8个因素，并结合图书馆的实际情况建立图书馆短视频传播及互动效果的影响因素模型，见图2。 以下从上瘾模型的4个环节分别阐释图书馆短视频传播及互动效果影响因素模型： (1)触发用户的因素。 抖音平台短视频的标题是用户观看短视频时获取的第一个完整信息，可以让用户最快地了解短视频的主要内容，从而做出是否观看的决定，因此本文将标题作为外部触发因素，具体",Open original PDF/Reader and fill exact page or table locator.
verify-c001-cnki-2021-d35f8e895a-b0010,65,needs_page_locator,C001,图书馆短视频研究可从“平台运营策略”推进到“内容/设计因素与互动效果的实证分析”。,cnki_2021_d35f8e895a,图书馆短视频传播及互动效果影响因素模型及实证分析——基于“上瘾模型”的探索,cnki_2021_d35f8e895a:B0010,,page_pending,skimmed,false,needs_human_validation;page_locator_pending;page_missing,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/paper.md,paper_reading/views/paper-b30ed69c.html,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/source_map.json,"如表1所示，目前粉丝数量排名前10的图书馆官方抖音号的作品量和粉丝量相对较大，涵盖了国家图书馆、上海图书馆等具有一定代表性、影响力较大的图书馆。本文选取此10个图书馆的抖音短视频作品作为研究对象，收集每个抖音号最新发布的100个短视频作品(作品数量不足100的取全部作品),共879个作品作为研究样本。然后收集样本的点赞数、评论数和转发数作为体现传播及互动效果的数据；并对样本的标题句型、标题长度、背景音乐情感类型、制作类别、内容主题、信息",Open original PDF/Reader and fill exact page or table locator.
verify-c001-cnki-2021-d35f8e895a-b0011,65,needs_page_locator,C001,图书馆短视频研究可从“平台运营策略”推进到“内容/设计因素与互动效果的实证分析”。,cnki_2021_d35f8e895a,图书馆短视频传播及互动效果影响因素模型及实证分析——基于“上瘾模型”的探索,cnki_2021_d35f8e895a:B0011,,page_pending,skimmed,false,needs_human_validation;page_locator_pending;page_missing,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/paper.md,paper_reading/views/paper-b30ed69c.html,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/source_map.json,社会事件 7 59 6.7 城市宣传 8 20 2.3 活动或参赛视频 9 73 8.3 节日或日常问候 10 67 7.6 其他 11 0 0 信息类型 无 0 295 33.6 资源类 1 113 12.9 服务类 2 134 15.2 知识点 3 283 32.2 社会信息 4 54 6.1 其他 5 0 0 时长(分钟) 1分钟以内 1 702 79.9 2-3分钟 2 99 11.3 3分钟以上 3 78 8.9 相关或连续性,Open original PDF/Reader and fill exact page or table locator.
verify-c002-cnki-2021-dfab60236e-b0004,65,needs_page_locator,C002,阅读推广短视频影响因素研究可以走“大样本社会化账号 + 文本挖掘/图像识别 + 回归”的方法路线。,cnki_2021_dfab60236e,抖音阅读推广短视频传播效果影响因素研究,cnki_2021_dfab60236e:B0004,,page_pending,skimmed,false,needs_human_validation;page_locator_pending;page_missing,projects/library_short_video/literature/readers/cnki_2021_dfab60236e/paper.md,paper_reading/views/paper-8448cb0c.html,projects/library_short_video/literature/readers/cnki_2021_dfab60236e/source_map.json,释用户处理视频信息的过程和机制。如谢泽杭利用ELM 和结构方程 模型探究了政务短视频用户采纳意愿的影响因素，发现有用性、趣味性、易理解性、易用性、信源可信度和社会 影响对政务短视频用户采纳意愿有正向影响 ［8］。陈强以共青团中央政务Bilibili 账号为例，基于ELM，围绕中心线 索和边缘线索构建理论模型，发现中心线索中的内容主题对传播效果有影响，边缘线索中的视频类别、视频剪辑 率、屏幕形式、字幕使用和组织形式对传播效果有影响 ［10,Open original PDF/Reader and fill exact page or table locator.
verify-c002-cnki-2021-dfab60236e-b0008,65,needs_page_locator,C002,阅读推广短视频影响因素研究可以走“大样本社会化账号 + 文本挖掘/图像识别 + 回归”的方法路线。,cnki_2021_dfab60236e,抖音阅读推广短视频传播效果影响因素研究,cnki_2021_dfab60236e:B0008,,page_pending,skimmed,false,needs_human_validation;page_locator_pending;page_missing,projects/library_short_video/literature/readers/cnki_2021_dfab60236e/paper.md,paper_reading/views/paper-8448cb0c.html,projects/library_short_video/literature/readers/cnki_2021_dfab60236e/source_map.json,示的每个抖音号，人工审查其粉丝数量与发布的短视频，剔除粉丝数量少于100 万和没有发布过阅读推广短视频 的抖音号，最终筛选出30 个社会化抖音号，结果如表1 所示。之后，本研究利用requests_ html 包，获取表1 中 抖音号发布的所有短视频数据，包括点赞数、评论数、转发数、企业认证情况、短视频标题文本、短视频时长、 短视频MP4 格式文件等。 3. 1. 2 数据转换 短视频MP4 格式文件同时包含音频信息和视频信息，维度较高,Open original PDF/Reader and fill exact page or table locator.
verify-c002-cnki-2021-dfab60236e-b0010,65,needs_page_locator,C002,阅读推广短视频影响因素研究可以走“大样本社会化账号 + 文本挖掘/图像识别 + 回归”的方法路线。,cnki_2021_dfab60236e,抖音阅读推广短视频传播效果影响因素研究,cnki_2021_dfab60236e:B0010,,page_pending,skimmed,false,needs_human_validation;page_locator_pending;page_missing,projects/library_short_video/literature/readers/cnki_2021_dfab60236e/paper.md,paper_reading/views/paper-8448cb0c.html,projects/library_short_video/literature/readers/cnki_2021_dfab60236e/source_map.json,银 ［42］、荆溪昱 ［43］、郭望皓 ［44］、李萍 ［45］、秦琴 ［46］等学者提出的计算公式。其中，荆溪昱提出的计算公式效度较 高，但其对常用字的测量来源于台湾常用繁体字表，对简体中文适用性较差。李萍和秦琴分别将会计专业术语和 医学专业术语作为衡量常用字的指标引入荆溪昱的计算公式中，取得了良好的效果。本研究借鉴以上学者的研究 成果，使用如下可读性计算公式来测量短视频内容和标题的可读性: R = 17. 5255+0. 0024×,Open original PDF/Reader and fill exact page or table locator.
verify-c002-cnki-2021-dfab60236e-b0013,65,needs_page_locator,C002,阅读推广短视频影响因素研究可以走“大样本社会化账号 + 文本挖掘/图像识别 + 回归”的方法路线。,cnki_2021_dfab60236e,抖音阅读推广短视频传播效果影响因素研究,cnki_2021_dfab60236e:B0013,,page_pending,skimmed,false,needs_human_validation;page_locator_pending;page_missing,projects/library_short_video/literature/readers/cnki_2021_dfab60236e/paper.md,paper_reading/views/paper-8448cb0c.html,projects/library_short_video/literature/readers/cnki_2021_dfab60236e/source_map.json,量做多元线性回归分析以验证假设，结果如表4 所示。所有自变量的方差 膨胀因素( Variance Inflation Vactor，VIF) 值均小于10，不存在多重共线性问题。 表4 抖音阅读推广短视频传播效果影响因素回归结果( N= 10 294) 自变量 传播效果 点赞数 评论数 分享数 Beta VIF Beta VIF Beta VIF Beta VIF 短视频内容的可读性 －0. 072＊＊＊ 1. 213 －0. 072＊,Open original PDF/Reader and fill exact page or table locator.
verify-c003-cnki-2021-dfab60236e-b0013,65,needs_page_locator,C003,在该社会化账号样本中，内容可读性、内容网络热词、标题可读性、标题互文性、15-60 秒时长与传播效果正相关；标题长度、标题标签、企业认证与传播效果负相关。,cnki_2021_dfab60236e,抖音阅读推广短视频传播效果影响因素研究,cnki_2021_dfab60236e:B0013,,page_pending,skimmed,false,needs_human_validation;page_locator_pending;page_missing,projects/library_short_video/literature/readers/cnki_2021_dfab60236e/paper.md,paper_reading/views/paper-8448cb0c.html,projects/library_short_video/literature/readers/cnki_2021_dfab60236e/source_map.json,量做多元线性回归分析以验证假设，结果如表4 所示。所有自变量的方差 膨胀因素( Variance Inflation Vactor，VIF) 值均小于10，不存在多重共线性问题。 表4 抖音阅读推广短视频传播效果影响因素回归结果( N= 10 294) 自变量 传播效果 点赞数 评论数 分享数 Beta VIF Beta VIF Beta VIF Beta VIF 短视频内容的可读性 －0. 072＊＊＊ 1. 213 －0. 072＊,Open original PDF/Reader and fill exact page or table locator.
verify-c003-cnki-2021-dfab60236e-b0014,65,needs_page_locator,C003,在该社会化账号样本中，内容可读性、内容网络热词、标题可读性、标题互文性、15-60 秒时长与传播效果正相关；标题长度、标题标签、企业认证与传播效果负相关。,cnki_2021_dfab60236e,抖音阅读推广短视频传播效果影响因素研究,cnki_2021_dfab60236e:B0014,,page_pending,skimmed,false,needs_human_validation;page_locator_pending;page_missing,projects/library_short_video/literature/readers/cnki_2021_dfab60236e/paper.md,paper_reading/views/paper-8448cb0c.html,projects/library_short_video/literature/readers/cnki_2021_dfab60236e/source_map.json,自变量 传播效果 点赞数 评论数 分享数 Beta VIF Beta VIF Beta VIF Beta VIF 短视频标题的可读性 －0. 041＊＊＊ 1. 142 －0. 042＊＊＊ 1. 142 －0. 034＊＊ 1. 142 －0. 019 1. 142 短视频标题的积极倾向 0. 039 1. 354 0. 041 1. 354 0. 001 1. 354 0. 014 1. 354 短视频标题中有第一人称代词 0. 0,Open original PDF/Reader and fill exact page or table locator.
verify-c003-cnki-2021-dfab60236e-b0015,65,needs_page_locator,C003,在该社会化账号样本中，内容可读性、内容网络热词、标题可读性、标题互文性、15-60 秒时长与传播效果正相关；标题长度、标题标签、企业认证与传播效果负相关。,cnki_2021_dfab60236e,抖音阅读推广短视频传播效果影响因素研究,cnki_2021_dfab60236e:B0015,,page_pending,skimmed,false,needs_human_validation;page_locator_pending;page_missing,projects/library_short_video/literature/readers/cnki_2021_dfab60236e/paper.md,paper_reading/views/paper-8448cb0c.html,projects/library_short_video/literature/readers/cnki_2021_dfab60236e/source_map.json,001 从中心路径来看，可读性的值越小，代表文本的可读性越高，因此，短视频内容的可读性对抖音阅读推广短 视频传播效果有显著正向影响。与不使用网络热词相比，在短视频内容中使用网络热词对传播效果有促进作用。 此外，短视频内容的情感倾向和是否在短视频内容中使用第一、二人称代词对抖音阅读推广短视频传播效果的影 响不显著。 从边缘路径来看，短视频标题的可读性对抖音阅读推广短视频传播效果有显著正向影响。短视频标题的长度 显著负向影响传播效果。与不具,Open original PDF/Reader and fill exact page or table locator.
verify-c003-cnki-2021-dfab60236e-b0016,65,needs_page_locator,C003,在该社会化账号样本中，内容可读性、内容网络热词、标题可读性、标题互文性、15-60 秒时长与传播效果正相关；标题长度、标题标签、企业认证与传播效果负相关。,cnki_2021_dfab60236e,抖音阅读推广短视频传播效果影响因素研究,cnki_2021_dfab60236e:B0016,,page_pending,skimmed,false,needs_human_validation;page_locator_pending;page_missing,projects/library_short_video/literature/readers/cnki_2021_dfab60236e/paper.md,paper_reading/views/paper-8448cb0c.html,projects/library_short_video/literature/readers/cnki_2021_dfab60236e/source_map.json,短视频内容中有网络热词、短视频标题有互文性和15 秒至60 秒的短视频时长。对传播效果起负向作用的有: 短 视频标题的长度、在短视频标题上添加标签和短视频信源有企业认证。 ( 1) 短视频内容的可读性能够显著提升传播效果。如果短视频内容的可读性较低，则用户可能无法完全理解 短视频所传达的信息，进而快速划走该短视频，传播效果大打折扣。而具有高可读性的短视频内容，可能会使用 户产生较好的理解和较佳的学习效果，进而促使用户产生点赞、评论和分享,Open original PDF/Reader and fill exact page or table locator.
verify-c004-cnki-2021-d35f8e895a-b0011,65,needs_page_locator,C004,在该研究中，标题句型、背景音乐情感类型、制作类别、内容主题、信息类型与传播互动指数存在显著差异。,cnki_2021_d35f8e895a,图书馆短视频传播及互动效果影响因素模型及实证分析——基于“上瘾模型”的探索,cnki_2021_d35f8e895a:B0011,,page_pending,skimmed,false,needs_human_validation;page_locator_pending;page_missing,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/paper.md,paper_reading/views/paper-b30ed69c.html,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/source_map.json,社会事件 7 59 6.7 城市宣传 8 20 2.3 活动或参赛视频 9 73 8.3 节日或日常问候 10 67 7.6 其他 11 0 0 信息类型 无 0 295 33.6 资源类 1 113 12.9 服务类 2 134 15.2 知识点 3 283 32.2 社会信息 4 54 6.1 其他 5 0 0 时长(分钟) 1分钟以内 1 702 79.9 2-3分钟 2 99 11.3 3分钟以上 3 78 8.9 相关或连续性,Open original PDF/Reader and fill exact page or table locator.
verify-c004-cnki-2021-d35f8e895a-b0012,65,needs_page_locator,C004,在该研究中，标题句型、背景音乐情感类型、制作类别、内容主题、信息类型与传播互动指数存在显著差异。,cnki_2021_d35f8e895a,图书馆短视频传播及互动效果影响因素模型及实证分析——基于“上瘾模型”的探索,cnki_2021_d35f8e895a:B0012,,page_pending,skimmed,false,needs_human_validation;page_locator_pending;page_missing,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/paper.md,paper_reading/views/paper-b30ed69c.html,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/source_map.json,"由表4可见，不同标题长度样本的C指数没有表现出显著性差异(p=0.482>0.05),因此不同标题长度对于C指数并无显著影响。 图3 标题句型与C指数的非参数检验分析对比 表4 标题长度与C指数的非参数检验结果 标题长度(中位数) Kruskal-Wallis 检验统计量H值 p 1.0(n=698) 2.0(n=164) 3.0(n=17) C指数 150.509 166.671 136.996 1.459 0.482 (3)背景音乐",Open original PDF/Reader and fill exact page or table locator.
verify-c004-cnki-2021-d35f8e895a-b0013,65,needs_page_locator,C004,在该研究中，标题句型、背景音乐情感类型、制作类别、内容主题、信息类型与传播互动指数存在显著差异。,cnki_2021_d35f8e895a,图书馆短视频传播及互动效果影响因素模型及实证分析——基于“上瘾模型”的探索,cnki_2021_d35f8e895a:B0013,,page_pending,skimmed,false,needs_human_validation;page_locator_pending;page_missing,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/paper.md,paper_reading/views/paper-b30ed69c.html,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/source_map.json,1.0(n=376) 2.0(n=197) 3.0(n=104) 4.0(n=4) 5.0(n=30) 6.0(n=168) C指数 155.555 127.681 141.205 218.601 84.000 209.781 51.022 0.000 表7 内容主题与C指数的非参数检验结果 内容主题(中位数) Kruskal-Wallis 检验统计量H 值 p 1.0 (n=129) 2.0 (n=75) 3.0 (n=122) 4.,Open original PDF/Reader and fill exact page or table locator.
verify-c005-cnki-2021-d35f8e895a-b0012,65,needs_page_locator,C005,标题长度、视频时长、与邻近视频的相关或连续性在该研究中未表现出显著影响。,cnki_2021_d35f8e895a,图书馆短视频传播及互动效果影响因素模型及实证分析——基于“上瘾模型”的探索,cnki_2021_d35f8e895a:B0012,,page_pending,skimmed,false,needs_human_validation;page_locator_pending;page_missing,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/paper.md,paper_reading/views/paper-b30ed69c.html,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/source_map.json,"由表4可见，不同标题长度样本的C指数没有表现出显著性差异(p=0.482>0.05),因此不同标题长度对于C指数并无显著影响。 图3 标题句型与C指数的非参数检验分析对比 表4 标题长度与C指数的非参数检验结果 标题长度(中位数) Kruskal-Wallis 检验统计量H值 p 1.0(n=698) 2.0(n=164) 3.0(n=17) C指数 150.509 166.671 136.996 1.459 0.482 (3)背景音乐",Open original PDF/Reader and fill exact page or table locator.
verify-c005-cnki-2021-d35f8e895a-b0013,65,needs_page_locator,C005,标题长度、视频时长、与邻近视频的相关或连续性在该研究中未表现出显著影响。,cnki_2021_d35f8e895a,图书馆短视频传播及互动效果影响因素模型及实证分析——基于“上瘾模型”的探索,cnki_2021_d35f8e895a:B0013,,page_pending,skimmed,false,needs_human_validation;page_locator_pending;page_missing,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/paper.md,paper_reading/views/paper-b30ed69c.html,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/source_map.json,1.0(n=376) 2.0(n=197) 3.0(n=104) 4.0(n=4) 5.0(n=30) 6.0(n=168) C指数 155.555 127.681 141.205 218.601 84.000 209.781 51.022 0.000 表7 内容主题与C指数的非参数检验结果 内容主题(中位数) Kruskal-Wallis 检验统计量H 值 p 1.0 (n=129) 2.0 (n=75) 3.0 (n=122) 4.,Open original PDF/Reader and fill exact page or table locator.
verify-c005-cnki-2021-d35f8e895a-b0014,65,needs_page_locator,C005,标题长度、视频时长、与邻近视频的相关或连续性在该研究中未表现出显著影响。,cnki_2021_d35f8e895a,图书馆短视频传播及互动效果影响因素模型及实证分析——基于“上瘾模型”的探索,cnki_2021_d35f8e895a:B0014,,page_pending,skimmed,false,needs_human_validation;page_locator_pending;page_missing,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/paper.md,paper_reading/views/paper-b30ed69c.html,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/source_map.json,根据上文的统计和验证结果可知，在本文设计的短视频传播及互动效果的8个影响因素中，图书馆短视频的标题长度、视频时长及其与临近视频的相关或连续性3个因素对于C指数并没有显著的影响。原因分析为：抖音平台短视频的标题一般只显示前40个字，超出部分会被折叠隐藏。而40字以内的标题基本可以一目了然，与句子数量关系不大，且由于短视频富媒体的呈现方式，标题本身信息表达的作用已被弱化，因此不同标题长度短视频的C指数无显著差异。由于短视频的传播及互动效果更,Open original PDF/Reader and fill exact page or table locator.
verify-c006-cnki-2021-d35f8e895a-b0008,65,needs_page_locator,C006,图书馆短视频运营的实践问题包括开通比例低、作品数量少、优质内容少。,cnki_2021_d35f8e895a,图书馆短视频传播及互动效果影响因素模型及实证分析——基于“上瘾模型”的探索,cnki_2021_d35f8e895a:B0008,,page_pending,skimmed,false,needs_human_validation;page_locator_pending;page_missing,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/paper.md,paper_reading/views/paper-b30ed69c.html,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/source_map.json,根据数据统计和对图书馆短视频内容的调研，可以总结出图书馆短视频平台的运营状况存在以下3个主要问题：①开通比例低。在全国超过3 000个公共图书馆和超过2 600个高校图书馆中，分别只有1%左右和1‰左右开通了抖音短视频账号。②作品数量少。在目前已开通的图书馆抖音账号中，超过半数已运营超过一年，但是作品数量不足100。③优质内容少。大部分图书馆账号的短视频内容较为传统和分散，视频创作的专业化水准不足，导致点赞量低、传播效果不佳。 目前，图,Open original PDF/Reader and fill exact page or table locator.
