path,bytes,modified_at,sha256
00_project_dashboard.md,1462,2026-06-20T09:48:40,100be1160ad2a0c0a2471a6f2fe7c5723b13739ad4db62e496e9ff8381276c1e
01_research_question.md,2818,2026-06-20T15:14:54,e00a7efc577a9f91bfe73c15a90fa005b1d8a5f5f6aaecd0ef36bd3c331dd368
02_methodology.md,262,2026-06-20T09:47:05,304d9aa5cd8518bae8933b0066e74f2a10e94067c33843f43d2735d6b73225b2
03_literature_synthesis.md,7114,2026-06-20T15:33:15,311eb0e6955eb75c8b4620a947d367471658ebb89913100131065a311cc6f465
04_experiment_plan.md,340,2026-06-20T09:47:05,81e40d021d0edb45259b602bd987ed8e014757964bf9e65bb28fabb8e8eebdfb
05_hypothesis_registry.md,290,2026-06-20T09:47:05,d9214dba9929dfdc215bb72f55d49dc4f6b1771af527bd0de7ba6544a2bd2d77
06_result_interpretation.md,530,2026-06-20T09:47:05,cb9a0b2a73b5f07e997854d8c1a5d653b44613e8b70f68b99798b87463150161
07_claim_evidence_map.md,378,2026-06-20T09:47:05,83e06188bc80dedad8a153387ab0b90e909b9ff74d405853de058f424c7f99d0
08_publication_readiness.md,2599,2026-06-20T09:47:05,f0572dea33ba966da87f55a32c583b9d9317ef39c08a243bceba097c44ad6c3f
README.md,2089,2026-06-20T09:47:05,6f7b0be858f0565efeb5592a6ca069dffae7f461b7aa001d6935168f2efb196b
analysis/R/analysis.R,546,2026-06-20T09:47:05,84ba639a349337a08a214117fdf515a11bd59633fd0f9b270f8b2823ca5a4bdd
analysis/matlab/simulation.m,295,2026-06-20T09:47:05,4b19ba41493567f51bb85cadccb1fadc4a840a2decb42d52fddf6b003c6f1727
analysis/python/analysis.py,362,2026-06-20T09:47:05,aeb79e95c1a077a3e62906a1058530dd01e9e2a27e01bbe0427a902ab7d1f1f7
data/codebook.md,510,2026-06-20T09:47:05,280ddc6cea3ba7c7a4e4ccbaf3fc95ff299b991225abbb7edfca60070b3f1e8d
data/data_dictionary.md,602,2026-06-20T09:47:05,8f7f6a43e9b2994135a71451736386a59f6897cccb4f1ba4ecf06fe7f4ff3975
data/data_governance.md,838,2026-06-20T09:47:05,768003ca409458b763f4eec7f497d8564a8353deface401103d0f4f63366cc1f
data/interim/.gitkeep,1,2026-06-18T20:19:45,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
data/processed/.gitkeep,1,2026-06-18T20:19:45,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
data/raw/.gitkeep,1,2026-06-18T20:19:45,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
figures/final/.gitkeep,1,2026-06-18T20:19:45,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
figures/raw/.gitkeep,1,2026-06-18T20:19:45,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
figures/specs/README.md,1195,2026-06-20T09:47:05,9c5afbdead83116f3f854c5ae0d93dcd96a3c76ee90d8044ccf0ff097fae882e
figures/specs/figure_spec.md,966,2026-06-20T09:47:05,6c2d36a512fe5318e2b9f3868df28b3bbce9da0f6a53d8fe5a72a6d954db7793
literature/caj_conversion/cnki_2020_64b4f881c9.md,1681,2026-06-20T15:30:14,d4918289ce4fd98e4f9d0ad82ace54afb15ca37fe898bb942447a36c5e27ae74
literature/caj_conversion/cnki_2020_64b4f881c9_preview/page-1.png,485092,2026-06-20T15:30:13,de3f2e7cde313f3b2eece8506ddab285d9ff3727b9b070b39e04dddb3b5716bd
literature/caj_conversion/cnki_2021_d35f8e895a.md,1534,2026-06-20T15:33:33,2192a4bc6059fb256c345dcc97fae3850fc3af6fe5badf5540450b9a6b9b4ce5
literature/caj_conversion/cnki_2021_d35f8e895a_preview/page-1.png,672707,2026-06-20T15:33:33,5dffe12a0a4ca49b0ba9fb5ab0e1454801a43a67b97fd0c319d4ec83d513f5d1
literature/caj_conversion/cnki_2021_dfab60236e.md,1385,2026-06-20T15:33:42,0b30500208023109bbd73d182ea78700b2e177330e49ecb940720113996e630c
literature/caj_conversion/cnki_2021_dfab60236e_preview/page-1.png,512824,2026-06-20T15:33:42,ef8758d95424b525edf322bf94b10acb03a6b88ff2d5a1234c61650908e1801f
literature/caj_conversion/cnki_2023_34348faa1e.md,1662,2026-06-20T15:30:14,20439ebaf95c72d9e4676b4bc1f32a35f6a84bb02b05d3a6107bc70da33a16a7
literature/caj_conversion/cnki_2023_34348faa1e_preview/page-1.png,539672,2026-06-20T15:30:14,eee34a32c728fe3b8626b0d2bf81b4aa2fd538f2807a1f0df8c23c914fd8d916
literature/cnki_retrieval_status.md,4721,2026-06-20T15:34:08,372be634108db394cbd5e25a5efb95d738b1df1f95472678ab7ea6631f490b62
literature/cnki_search_plan.md,4497,2026-06-20T09:48:33,bac6ee481f7ef2ed0746dca48df5b157fc0e160ca5a87c711c24e78a7260c20c
literature/missing_html_reader_titles.txt,145,2026-06-20T14:59:58,d4f7c8d6a52ecaa4d8166dcd778b878dda7a88e65a5441e724c1139b616620ec
literature/readers/README.md,845,2026-06-20T09:47:05,300686a8512a5cd54cdb63b3ca88fa4accf69c0099612c8fbff7358b3e1540bb
literature/readers/cnki_2020_2a150c6df8/paper.md,42387,2026-06-20T14:59:15,02df805c93a87f38fa3def83908470fd66533cb2e8d0fa2e9be5cde40202536e
literature/readers/cnki_2020_2a150c6df8/source_map.json,43216,2026-06-20T14:59:15,ac2d921ad89b6ca473b79890fc2f954c8b886cb64081b1c833d52cd0a0eabf69
literature/readers/cnki_2020_2a150c6df8/translation_notes.md,849,2026-06-20T14:59:15,1dab3e05d5fa636a5880148568e9f44b8479ac6e565b2c5545f7455094f821b0
literature/readers/cnki_2020_64b4f881c9/paper.md,28452,2026-06-20T15:30:13,c0a6fb0dfb88cd289885559bd5bff5655d64870c1149c3232c3977f8f0ed6ba7
literature/readers/cnki_2020_64b4f881c9/source_map.json,28756,2026-06-20T15:30:13,8ddcb78058b10ccda1217a45992710005de6bc621ae3563c916330c35686cc7d
literature/readers/cnki_2020_64b4f881c9/translation_notes.md,859,2026-06-20T15:30:13,c4ea7390e18fed05c09f63c2bdc7a1ddb3f6c35a476a7196aaab4537bbe0acb5
literature/readers/cnki_2021_5530e86157/paper.md,39826,2026-06-20T14:59:15,0e58980cb0ccfcbb217f1d89060c149e95afd2a462af40449dcea46b3b0a428d
literature/readers/cnki_2021_5530e86157/source_map.json,40483,2026-06-20T14:59:15,6b3d243ed8b6133d7d30ac8b7b5158f5cdc85cff23f2e35ea2b0ca4aba25136b
literature/readers/cnki_2021_5530e86157/translation_notes.md,849,2026-06-20T14:59:15,64ca45ab48c9fb32f4d7c6e0a0758d979caaaddbd2efc3b5a63d3c9da523fd54
literature/readers/cnki_2021_7556aafa99/paper.md,49297,2026-06-20T14:59:15,ae48aa8c8b50ad3e12b85dd1b712d0f47bd7b460eb1cee8b875e4d1ea8288076
literature/readers/cnki_2021_7556aafa99/source_map.json,50376,2026-06-20T14:59:15,8bda625e74152d82d9d754fff7eb5b1c10924d98c462405a60c6f6babf8b3bb4
literature/readers/cnki_2021_7556aafa99/translation_notes.md,849,2026-06-20T14:59:15,4ea563dbdf30c6f2a8f7a2ba0ca828c364e50723f4bd93b2bc0afc1de4126bfd
literature/readers/cnki_2021_d35f8e895a/paper.md,44091,2026-06-20T15:15:57,6416b45c06016797fe320d944323628abc6e9a78ce321aaea53d3fc3dd695b9f
literature/readers/cnki_2021_d35f8e895a/source_map.json,42271,2026-06-20T10:22:05,d16e32019b439c4a82dc8449bfc635ddb5e48febe2ae5a47cf2ead1ba1461601
literature/readers/cnki_2021_d35f8e895a/translation_notes.md,820,2026-06-20T10:22:05,35a6a78f9338ec3bf4621a105ba4c07fe523127ee0a8ff1235c266f81ba30762
literature/readers/cnki_2021_dfab60236e/paper.md,52090,2026-06-20T15:33:42,158f67d28e9647ac3392dcdbf41321b16a40bec977bb33270a74b86b459715b7
literature/readers/cnki_2021_dfab60236e/source_map.json,53419,2026-06-20T15:33:42,0bbf8a3d6a8dd3d399d57fca247348e2948c4966a276cde2cf495b542522e24a
literature/readers/cnki_2021_dfab60236e/translation_notes.md,859,2026-06-20T15:33:42,bb808c23e968593edd2fa54d60c30d8367d44129764a4a1dbde7ba7801dbc873
literature/readers/cnki_2023_34348faa1e/paper.md,40234,2026-06-20T15:30:14,97728a3525ce6e6c379531b83d17b2fe1bfbebe7b867b7c43167e5f035bccbe0
literature/readers/cnki_2023_34348faa1e/source_map.json,41226,2026-06-20T15:30:14,f58110c0a24b6f4a534a39c21c13c5e98fb44edb38b0e97c5d6e049899b66f81
literature/readers/cnki_2023_34348faa1e/translation_notes.md,859,2026-06-20T15:30:14,7c1202b6ec0637368b920d840fcfd47196955319bd5077a504d5e0b9fe77f488
literature/selected_html_reader_titles.txt,425,2026-06-20T10:23:22,30b173567e503e9e5033a7352f362b793f6afd90e376332827c2d96668c0226e
manuscript/ai_usage_disclosure.md,803,2026-06-20T09:47:05,8968e1f33dc5dc6ccf194bf771bb020cafcab340c0e9a9cf901f9c60809e3a2a
manuscript/evidence_gate_report.md,5604,2026-06-20T15:34:35,07c89cba88bca14f78feb21d0a8df3a078351f049994061a47a99d2036404065
manuscript/paper.md,1397,2026-06-20T09:47:05,933cc161add9120e7e4ee39ccae458ae792557503044122312a3f5420ea9b9d4
manuscript/polishing_log.md,535,2026-06-20T09:47:05,df61c989a363b702da3cf969fff2584a87ddb8a56f45cc33f13e6a071567bd43
manuscript/references.bib,1,2026-06-20T09:47:05,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
manuscript/submission_checklist_tushuqingbaogongzuo.md,3229,2026-06-20T09:47:05,33579518ce869e815a46e35d717c2d89ae0b81898afead1387269779cb82546e
manuscript/target_journal.md,962,2026-06-20T09:47:05,94c99d4c0fa01585a9e74512f2b8fdda14116e5598342cdec885d79c992e9e54
manuscript/terminology_ledger.md,384,2026-06-20T09:47:05,2ef9b9269f9e16ed65930ef5e8fce52fcf5830363ef92e52bd6ac4520c0b17d2
passport/material_passport.md,197,2026-06-20T09:47:05,45ba191926e5944fc28a962f92a232cebdc2d9c4168b5756923563e0645fd737
presentations/paper2ppt_plan.md,789,2026-06-20T09:47:05,88a20cb1ed0014ae55353fb1426a85e88ee770f48aa54c6013dadb8d112a0388
project.yaml,110,2026-06-20T09:47:05,5687cc7903c8c07a51a87d4df2372790f690bf093822014a184ac191fafb48f8
review_response/response_tracker.md,1025,2026-06-20T09:47:05,51418eb1b683ae51ec2f0c42b247f4f7bc3cedb0fb164f8a627fb8462f28cadf
