Source,Target,Type,Weight,Label
2026-06-20-hook-model,Hook Model 上瘾模型,Directed,1,obsidian_link
2026-06-29-evening-close,2026-06-22-library_short_video,Directed,2,obsidian_link
2026-06-29-evening-close,2026-06-28-context-pack,Directed,2,obsidian_link
2026-06-29-evening-close,2026-06-29-sicas-paper,Directed,5,obsidian_link
2026-06-29-evening-close,AARRR 漏斗模型,Directed,1,obsidian_link
2026-06-29-evening-close,DCI传播力指数,Directed,3,obsidian_link
2026-06-29-evening-close,ELM 精细加工可能性模型,Directed,1,obsidian_link
2026-06-29-evening-close,Hook Model 上瘾模型,Directed,5,obsidian_link
2026-06-29-evening-close,SICAS-服务转化路径,Directed,1,obsidian_link
2026-06-29-evening-close,SICAS模型,Directed,5,obsidian_link
2026-06-29-evening-close,cnki_2023_34348faa1e,Directed,8,obsidian_link
2026-06-29-evening-close,library_short_video,Directed,4,obsidian_link
2026-06-29-evening-close,图书馆短视频多平台复测,Directed,1,obsidian_link
2026-06-29-evening-close,图书馆短视频服务价值框架,Directed,1,obsidian_link
2026-06-29-evening-close,描述性账号调查,Directed,2,obsidian_link
2026-06-29-evening-close,方向链,Directed,4,obsidian_link
2026-06-29-evening-close,沉浸式内容,Directed,2,obsidian_link
2026-06-29-evening-close,用户感知价值,Directed,2,obsidian_link
2026-06-29-evening-close,精神激励,Directed,1,obsidian_link
2026-06-29-evening-close,软营销,Directed,2,obsidian_link
2026-06-29-sicas-paper,2026-06-29-evening-close,Directed,1,obsidian_link
2026-06-29-sicas-paper,DCI传播力指数,Directed,2,obsidian_link
2026-06-29-sicas-paper,ELM 精细加工可能性模型,Directed,1,obsidian_link
2026-06-29-sicas-paper,Hook Model 上瘾模型,Directed,1,obsidian_link
2026-06-29-sicas-paper,SICAS模型,Directed,5,obsidian_link
2026-06-29-sicas-paper,cnki_2023_34348faa1e,Directed,5,obsidian_link
2026-06-29-sicas-paper,library_short_video,Directed,2,obsidian_link
2026-06-29-sicas-paper,描述性账号调查,Directed,1,obsidian_link
2026-06-29-sicas-paper,沉浸式内容,Directed,2,obsidian_link
2026-06-29-sicas-paper,用户感知价值,Directed,1,obsidian_link
2026-06-29-sicas-paper,软营销,Directed,2,obsidian_link
2026-06-30,AARRR 漏斗模型,Directed,1,obsidian_link
2026-06-30,cnki_2021_3771e58987,Directed,1,obsidian_link
2026-06-30,平台适配,Directed,1,obsidian_link
2026-06-30,馆型差异,Directed,1,obsidian_link
2026-06-30-aarrr-paper,2026-06-30-evening-close,Directed,1,obsidian_link
2026-06-30-aarrr-paper,AARRR 漏斗模型,Directed,6,obsidian_link
2026-06-30-aarrr-paper,SICAS模型,Directed,2,obsidian_link
2026-06-30-aarrr-paper,cnki_2021_3771e58987,Directed,6,obsidian_link
2026-06-30-aarrr-paper,library_short_video,Directed,1,obsidian_link
2026-06-30-aarrr-paper,内容分析法,Directed,2,obsidian_link
2026-06-30-aarrr-paper,图书馆短视频AARRR服务价值指标,Directed,1,obsidian_link
2026-06-30-aarrr-paper,平台适配,Directed,5,obsidian_link
2026-06-30-aarrr-paper,网络调查法,Directed,2,obsidian_link
2026-06-30-aarrr-paper,馆型差异,Directed,5,obsidian_link
2026-06-30-evening-close,2026-06-30-aarrr-paper,Directed,1,obsidian_link
2026-06-30-evening-close,AARRR 漏斗模型,Directed,8,obsidian_link
2026-06-30-evening-close,DCI传播力指数,Directed,1,obsidian_link
2026-06-30-evening-close,Hook Model 上瘾模型,Directed,1,obsidian_link
2026-06-30-evening-close,SICAS-AARRR整合框架,Directed,1,obsidian_link
2026-06-30-evening-close,SICAS模型,Directed,4,obsidian_link
2026-06-30-evening-close,cnki_2021_3771e58987,Directed,8,obsidian_link
2026-06-30-evening-close,cnki_2023_82f69af538,Directed,1,obsidian_link
2026-06-30-evening-close,library_short_video,Directed,1,obsidian_link
2026-06-30-evening-close,内容分析法,Directed,2,obsidian_link
2026-06-30-evening-close,图书馆短视频AARRR服务价值指标,Directed,1,obsidian_link
2026-06-30-evening-close,平台适配,Directed,5,obsidian_link
2026-06-30-evening-close,描述性账号调查,Directed,1,obsidian_link
2026-06-30-evening-close,方向链,Directed,1,obsidian_link
2026-06-30-evening-close,沉浸式内容,Directed,1,obsidian_link
2026-06-30-evening-close,用户感知价值,Directed,1,obsidian_link
2026-06-30-evening-close,网络调查法,Directed,2,obsidian_link
2026-06-30-evening-close,软营销,Directed,1,obsidian_link
2026-06-30-evening-close,馆型差异,Directed,5,obsidian_link
2026-07-01-digital-reading-promotion-paper,2026-07-01-evening-close,Directed,1,obsidian_link
2026-07-01-digital-reading-promotion-paper,AARRR 漏斗模型,Directed,2,obsidian_link
2026-07-01-digital-reading-promotion-paper,SICAS模型,Directed,2,obsidian_link
2026-07-01-digital-reading-promotion-paper,cnki_2021_5530e86157,Directed,7,obsidian_link
2026-07-01-digital-reading-promotion-paper,library_short_video,Directed,2,obsidian_link
2026-07-01-digital-reading-promotion-paper,互动营销,Directed,4,obsidian_link
2026-07-01-digital-reading-promotion-paper,头部账号实践提炼,Directed,2,obsidian_link
2026-07-01-digital-reading-promotion-paper,平台适配,Directed,1,obsidian_link
2026-07-01-digital-reading-promotion-paper,情感营销,Directed,4,obsidian_link
2026-07-01-digital-reading-promotion-paper,数字阅读推广,Directed,3,obsidian_link
2026-07-01-digital-reading-promotion-paper,服务价值,Directed,4,obsidian_link
2026-07-01-digital-reading-promotion-paper,渠道营销,Directed,4,obsidian_link
2026-07-01-digital-reading-promotion-paper,用户感知价值,Directed,1,obsidian_link
2026-07-01-evening-close,2026-07-01-digital-reading-promotion-paper,Directed,1,obsidian_link
2026-07-01-evening-close,AARRR 漏斗模型,Directed,3,obsidian_link
2026-07-01-evening-close,SICAS模型,Directed,3,obsidian_link
2026-07-01-evening-close,cnki_2021_5530e86157,Directed,9,obsidian_link
2026-07-01-evening-close,library_short_video,Directed,2,obsidian_link
2026-07-01-evening-close,互动营销,Directed,5,obsidian_link
2026-07-01-evening-close,头部账号实践提炼,Directed,4,obsidian_link
2026-07-01-evening-close,平台适配,Directed,1,obsidian_link
2026-07-01-evening-close,情感营销,Directed,5,obsidian_link
2026-07-01-evening-close,数字阅读推广,Directed,6,obsidian_link
2026-07-01-evening-close,服务价值,Directed,8,obsidian_link
2026-07-01-evening-close,渠道营销,Directed,5,obsidian_link
2026-07-01-evening-close,用户感知价值,Directed,1,obsidian_link
2026-07-02-propagation-power-evaluation-paper,AARRR 漏斗模型,Directed,1,obsidian_link
2026-07-02-propagation-power-evaluation-paper,SICAS模型,Directed,1,obsidian_link
2026-07-02-propagation-power-evaluation-paper,cnki_2021_645f03f388,Directed,2,obsidian_link
2026-07-02-propagation-power-evaluation-paper,传播力评价,Directed,3,obsidian_link
2026-07-02-propagation-power-evaluation-paper,图书馆短视频内容质量评价,Directed,1,obsidian_link
2026-07-02-propagation-power-evaluation-paper,图书馆短视频账号传播力研究——以省级公共图书馆为例,Directed,1,obsidian_link
2026-07-02-propagation-power-evaluation-paper,平台互动-服务触达-阅读转化,Directed,1,obsidian_link
2026-07-02-propagation-power-evaluation-paper,数字阅读推广,Directed,1,obsidian_link
2026-07-02-propagation-power-evaluation-paper,服务价值,Directed,1,obsidian_link
2026-07-02-propagation-power-evaluation-paper,熵权法,Directed,1,obsidian_link
2026-07-02-propagation-power-evaluation-paper,爆款指数,Directed,1,obsidian_link
AARRR 漏斗模型,ELM 精细加工可能性模型,Directed,1,obsidian_link
AARRR 漏斗模型,Hook Model 上瘾模型,Directed,1,obsidian_link
AARRR 漏斗模型,SICAS模型,Directed,2,obsidian_link
AARRR 漏斗模型,cnki_2021_3771e58987,Directed,2,obsidian_link
AARRR 漏斗模型,library_short_video,Directed,1,obsidian_link
AARRR 漏斗模型,内容分析法,Directed,1,obsidian_link
AARRR 漏斗模型,图书馆短视频AARRR服务价值指标,Directed,1,obsidian_link
AARRR 漏斗模型,平台适配,Directed,1,obsidian_link
AARRR 漏斗模型,描述性账号调查,Directed,1,obsidian_link
AARRR 漏斗模型,服务价值,Directed,1,obsidian_link
AARRR 漏斗模型,网络调查法,Directed,1,obsidian_link
AARRR 漏斗模型,馆型差异,Directed,1,obsidian_link
DCI传播力指数,SICAS模型,Directed,1,obsidian_link
DCI传播力指数,cnki_2021_645f03f388,Directed,2,obsidian_link
DCI传播力指数,cnki_2023_34348faa1e,Directed,2,obsidian_link
DCI传播力指数,library_short_video,Directed,1,obsidian_link
DCI传播力指数,传播力评价,Directed,2,obsidian_link
DCI传播力指数,图书馆短视频内容质量评价,Directed,1,obsidian_link
DCI传播力指数,平台互动-服务触达-阅读转化,Directed,1,obsidian_link
DCI传播力指数,熵权法,Directed,1,obsidian_link
DCI传播力指数,爆款指数,Directed,2,obsidian_link
DCI传播力指数,用户感知价值,Directed,1,obsidian_link
Home,11_Idea_Lab/README,Directed,1,obsidian_link
Home,可视化使用指南,Directed,1,obsidian_link
Home,图表规范,Directed,1,obsidian_link
Home,文献阅读规范,Directed,1,obsidian_link
Home,科研工作流,Directed,1,obsidian_link
Hook Model 上瘾模型,ELM 精细加工可能性模型,Directed,1,obsidian_link
Hook Model 上瘾模型,图书馆短视频相关研究,Directed,2,obsidian_link
Hook Model 上瘾模型,平台互动指标,Directed,2,obsidian_link
Hook Model 上瘾模型,服务价值,Directed,2,obsidian_link
Hook Model 上瘾模型,阅读推广,Directed,2,obsidian_link
README,双链,Directed,1,obsidian_link
SICAS模型,AARRR 漏斗模型,Directed,2,obsidian_link
SICAS模型,DCI传播力指数,Directed,1,obsidian_link
SICAS模型,ELM 精细加工可能性模型,Directed,2,obsidian_link
SICAS模型,Hook Model 上瘾模型,Directed,2,obsidian_link
SICAS模型,cnki_2023_34348faa1e,Directed,1,obsidian_link
SICAS模型,library_short_video,Directed,1,obsidian_link
SICAS模型,描述性账号调查,Directed,1,obsidian_link
SICAS模型,用户感知价值,Directed,1,obsidian_link
SICAS模型,软营销,Directed,1,obsidian_link
cnki_2021_3771e58987,2026-06-30-aarrr-paper,Directed,1,obsidian_link
cnki_2021_3771e58987,2026-06-30-evening-close,Directed,1,obsidian_link
cnki_2021_3771e58987,AARRR 漏斗模型,Directed,4,obsidian_link
cnki_2021_3771e58987,ELM 精细加工可能性模型,Directed,1,obsidian_link
cnki_2021_3771e58987,Hook Model 上瘾模型,Directed,1,obsidian_link
cnki_2021_3771e58987,SICAS-AARRR整合框架,Directed,2,obsidian_link
cnki_2021_3771e58987,SICAS模型,Directed,2,obsidian_link
cnki_2021_3771e58987,cnki_2021_5530e86157,Directed,1,obsidian_link
cnki_2021_3771e58987,cnki_2023_34348faa1e,Directed,1,obsidian_link
cnki_2021_3771e58987,library_short_video,Directed,2,obsidian_link
cnki_2021_3771e58987,内容分析法,Directed,2,obsidian_link
cnki_2021_3771e58987,图书馆短视频AARRR服务价值指标,Directed,2,obsidian_link
cnki_2021_3771e58987,平台互动指标,Directed,1,obsidian_link
cnki_2021_3771e58987,平台适配,Directed,3,obsidian_link
cnki_2021_3771e58987,描述性账号调查,Directed,1,obsidian_link
cnki_2021_3771e58987,服务价值,Directed,1,obsidian_link
cnki_2021_3771e58987,网络调查法,Directed,2,obsidian_link
cnki_2021_3771e58987,馆型差异,Directed,2,obsidian_link
cnki_2021_3771e58987,馆型平台适配复测,Directed,2,obsidian_link
cnki_2021_5530e86157,2026-07-01-digital-reading-promotion-paper,Directed,1,obsidian_link
cnki_2021_5530e86157,2026-07-01-evening-close,Directed,1,obsidian_link
cnki_2021_5530e86157,AARRR 漏斗模型,Directed,4,obsidian_link
cnki_2021_5530e86157,SICAS模型,Directed,4,obsidian_link
cnki_2021_5530e86157,cnki_2020_2a150c6df8,Directed,1,obsidian_link
cnki_2021_5530e86157,cnki_2021_3771e58987,Directed,1,obsidian_link
cnki_2021_5530e86157,cnki_2021_7556aafa99,Directed,1,obsidian_link
cnki_2021_5530e86157,library_short_video,Directed,2,obsidian_link
cnki_2021_5530e86157,互动营销,Directed,4,obsidian_link
cnki_2021_5530e86157,内容分析法,Directed,1,obsidian_link
cnki_2021_5530e86157,头部账号与普通馆迁移边界,Directed,2,obsidian_link
cnki_2021_5530e86157,头部账号实践提炼,Directed,2,obsidian_link
cnki_2021_5530e86157,平台互动-服务触达-阅读转化,Directed,2,obsidian_link
cnki_2021_5530e86157,情感-渠道-互动-服务转化模型,Directed,2,obsidian_link
cnki_2021_5530e86157,情感营销,Directed,4,obsidian_link
cnki_2021_5530e86157,描述性账号调查,Directed,2,obsidian_link
cnki_2021_5530e86157,数字阅读推广,Directed,5,obsidian_link
cnki_2021_5530e86157,服务价值,Directed,5,obsidian_link
cnki_2021_5530e86157,沉浸式内容,Directed,2,obsidian_link
cnki_2021_5530e86157,渠道营销,Directed,4,obsidian_link
cnki_2021_5530e86157,用户感知价值,Directed,2,obsidian_link
cnki_2021_645f03f388,2026-07-02-propagation-power-evaluation-paper,Directed,1,obsidian_link
cnki_2021_645f03f388,AARRR 漏斗模型,Directed,1,obsidian_link
cnki_2021_645f03f388,DCI传播力指数,Directed,2,obsidian_link
cnki_2021_645f03f388,SICAS模型,Directed,2,obsidian_link
cnki_2021_645f03f388,cnki_2021_3771e58987,Directed,1,obsidian_link
cnki_2021_645f03f388,cnki_2021_5530e86157,Directed,1,obsidian_link
cnki_2021_645f03f388,cnki_2021_d35f8e895a,Directed,1,obsidian_link
cnki_2021_645f03f388,cnki_2023_34348faa1e,Directed,1,obsidian_link
cnki_2021_645f03f388,library_short_video,Directed,2,obsidian_link
cnki_2021_645f03f388,传播力评价,Directed,3,obsidian_link
cnki_2021_645f03f388,传播力评价与服务价值错位,Directed,1,obsidian_link
cnki_2021_645f03f388,内容分析法,Directed,2,obsidian_link
cnki_2021_645f03f388,图书馆短视频内容质量评价,Directed,3,obsidian_link
cnki_2021_645f03f388,平台互动-服务触达-阅读转化,Directed,2,obsidian_link
cnki_2021_645f03f388,平台传播-服务结果复合指标,Directed,1,obsidian_link
cnki_2021_645f03f388,数字阅读推广,Directed,2,obsidian_link
cnki_2021_645f03f388,服务价值,Directed,4,obsidian_link
cnki_2021_645f03f388,熵权法,Directed,3,obsidian_link
cnki_2021_645f03f388,爆款指数,Directed,2,obsidian_link
cnki_2021_645f03f388,省级公共图书馆账号复测,Directed,1,obsidian_link
cnki_2021_645f03f388,网络调查法,Directed,1,obsidian_link
cnki_2021_645f03f388,馆型差异,Directed,1,obsidian_link
cnki_2023_34348faa1e,2026-06-29-evening-close,Directed,1,obsidian_link
cnki_2023_34348faa1e,2026-06-29-sicas-paper,Directed,1,obsidian_link
cnki_2023_34348faa1e,AARRR 漏斗模型,Directed,2,obsidian_link
cnki_2023_34348faa1e,DCI传播力指数,Directed,2,obsidian_link
cnki_2023_34348faa1e,ELM 精细加工可能性模型,Directed,3,obsidian_link
cnki_2023_34348faa1e,Hook Model 上瘾模型,Directed,3,obsidian_link
cnki_2023_34348faa1e,SICAS-服务转化路径,Directed,2,obsidian_link
cnki_2023_34348faa1e,SICAS模型,Directed,3,obsidian_link
cnki_2023_34348faa1e,cnki_2021_3771e58987,Directed,1,obsidian_link
cnki_2023_34348faa1e,cnki_2021_5530e86157,Directed,1,obsidian_link
cnki_2023_34348faa1e,library_short_video,Directed,2,obsidian_link
cnki_2023_34348faa1e,图书馆短视频多平台复测,Directed,2,obsidian_link
cnki_2023_34348faa1e,图书馆短视频服务价值框架,Directed,2,obsidian_link
cnki_2023_34348faa1e,描述性账号调查,Directed,1,obsidian_link
cnki_2023_34348faa1e,沉浸式内容,Directed,2,obsidian_link
cnki_2023_34348faa1e,用户感知价值,Directed,2,obsidian_link
cnki_2023_34348faa1e,精神激励,Directed,1,obsidian_link
cnki_2023_34348faa1e,软营销,Directed,2,obsidian_link
library_short_video,AARRR 漏斗模型,Directed,1,obsidian_link
library_short_video,DCI传播力指数,Directed,1,obsidian_link
library_short_video,SICAS模型,Directed,1,obsidian_link
library_short_video,互动营销,Directed,1,obsidian_link
library_short_video,平台适配,Directed,1,obsidian_link
library_short_video,情感营销,Directed,1,obsidian_link
library_short_video,数字阅读推广,Directed,1,obsidian_link
library_short_video,服务价值,Directed,1,obsidian_link
library_short_video,渠道营销,Directed,1,obsidian_link
library_short_video,软营销,Directed,1,obsidian_link
library_short_video,馆型差异,Directed,1,obsidian_link
互动营销,SICAS模型,Directed,2,obsidian_link
互动营销,cnki_2021_5530e86157,Directed,2,obsidian_link
互动营销,内容分析法,Directed,1,obsidian_link
互动营销,头部账号实践提炼,Directed,1,obsidian_link
互动营销,情感营销,Directed,1,obsidian_link
互动营销,数字阅读推广,Directed,1,obsidian_link
互动营销,服务价值,Directed,2,obsidian_link
传播力评价,DCI传播力指数,Directed,1,obsidian_link
传播力评价,cnki_2021_645f03f388,Directed,2,obsidian_link
传播力评价,library_short_video,Directed,1,obsidian_link
传播力评价,图书馆短视频内容质量评价,Directed,1,obsidian_link
传播力评价,平台互动-服务触达-阅读转化,Directed,2,obsidian_link
传播力评价,数字阅读推广,Directed,1,obsidian_link
传播力评价,服务价值,Directed,2,obsidian_link
传播力评价,熵权法,Directed,2,obsidian_link
传播力评价,爆款指数,Directed,1,obsidian_link
传播力评价,馆型差异,Directed,1,obsidian_link
内容分析法,AARRR 漏斗模型,Directed,2,obsidian_link
内容分析法,SICAS模型,Directed,2,obsidian_link
内容分析法,cnki_2021_3771e58987,Directed,2,obsidian_link
内容分析法,library_short_video,Directed,1,obsidian_link
内容分析法,平台适配,Directed,1,obsidian_link
内容分析法,描述性账号调查,Directed,1,obsidian_link
内容分析法,服务价值,Directed,1,obsidian_link
内容分析法,网络调查法,Directed,1,obsidian_link
图书馆短视频内容质量评价,SICAS模型,Directed,1,obsidian_link
图书馆短视频内容质量评价,cnki_2021_645f03f388,Directed,2,obsidian_link
图书馆短视频内容质量评价,传播力评价,Directed,1,obsidian_link
图书馆短视频内容质量评价,内容分析法,Directed,2,obsidian_link
图书馆短视频内容质量评价,平台互动-服务触达-阅读转化,Directed,1,obsidian_link
图书馆短视频内容质量评价,数字阅读推广,Directed,1,obsidian_link
图书馆短视频内容质量评价,服务价值,Directed,1,obsidian_link
图书馆短视频内容质量评价,熵权法,Directed,1,obsidian_link
图书馆短视频内容质量评价,爆款指数,Directed,1,obsidian_link
头部账号实践提炼,cnki_2021_5530e86157,Directed,2,obsidian_link
头部账号实践提炼,library_short_video,Directed,1,obsidian_link
头部账号实践提炼,互动营销,Directed,2,obsidian_link
头部账号实践提炼,内容分析法,Directed,1,obsidian_link
头部账号实践提炼,情感营销,Directed,2,obsidian_link
头部账号实践提炼,描述性账号调查,Directed,1,obsidian_link
头部账号实践提炼,数字阅读推广,Directed,1,obsidian_link
头部账号实践提炼,服务价值,Directed,2,obsidian_link
头部账号实践提炼,渠道营销,Directed,2,obsidian_link
平台互动-服务触达-阅读转化,AARRR 漏斗模型,Directed,1,obsidian_link
平台互动-服务触达-阅读转化,DCI传播力指数,Directed,1,obsidian_link
平台互动-服务触达-阅读转化,SICAS模型,Directed,1,obsidian_link
平台互动-服务触达-阅读转化,cnki_2021_3771e58987,Directed,1,obsidian_link
平台互动-服务触达-阅读转化,cnki_2021_5530e86157,Directed,2,obsidian_link
平台互动-服务触达-阅读转化,cnki_2021_645f03f388,Directed,2,obsidian_link
平台互动-服务触达-阅读转化,cnki_2023_34348faa1e,Directed,1,obsidian_link
平台互动-服务触达-阅读转化,传播力评价,Directed,2,obsidian_link
平台互动-服务触达-阅读转化,内容分析法,Directed,1,obsidian_link
平台互动-服务触达-阅读转化,描述性账号调查,Directed,1,obsidian_link
平台互动-服务触达-阅读转化,数字阅读推广,Directed,1,obsidian_link
平台互动-服务触达-阅读转化,服务价值,Directed,1,obsidian_link
平台互动-服务触达-阅读转化,熵权法,Directed,1,obsidian_link
平台适配,AARRR 漏斗模型,Directed,1,obsidian_link
平台适配,SICAS模型,Directed,1,obsidian_link
平台适配,cnki_2021_3771e58987,Directed,2,obsidian_link
平台适配,library_short_video,Directed,1,obsidian_link
平台适配,内容分析法,Directed,1,obsidian_link
平台适配,服务价值,Directed,1,obsidian_link
平台适配,网络调查法,Directed,1,obsidian_link
平台适配,馆型差异,Directed,2,obsidian_link
情感营销,SICAS模型,Directed,1,obsidian_link
情感营销,cnki_2021_5530e86157,Directed,2,obsidian_link
情感营销,互动营销,Directed,1,obsidian_link
情感营销,内容分析法,Directed,1,obsidian_link
情感营销,头部账号实践提炼,Directed,1,obsidian_link
情感营销,数字阅读推广,Directed,1,obsidian_link
情感营销,服务价值,Directed,1,obsidian_link
情感营销,沉浸式内容,Directed,1,obsidian_link
情感营销,用户感知价值,Directed,1,obsidian_link
描述性账号调查,SICAS模型,Directed,1,obsidian_link
描述性账号调查,cnki_2023_34348faa1e,Directed,2,obsidian_link
描述性账号调查,library_short_video,Directed,1,obsidian_link
描述性账号调查,用户感知价值,Directed,1,obsidian_link
描述性账号调查,软营销,Directed,1,obsidian_link
数字阅读推广,AARRR 漏斗模型,Directed,2,obsidian_link
数字阅读推广,SICAS模型,Directed,2,obsidian_link
数字阅读推广,cnki_2021_5530e86157,Directed,2,obsidian_link
数字阅读推广,library_short_video,Directed,1,obsidian_link
数字阅读推广,互动营销,Directed,1,obsidian_link
数字阅读推广,头部账号实践提炼,Directed,1,obsidian_link
数字阅读推广,情感营销,Directed,1,obsidian_link
数字阅读推广,描述性账号调查,Directed,1,obsidian_link
数字阅读推广,服务价值,Directed,1,obsidian_link
数字阅读推广,渠道营销,Directed,1,obsidian_link
方向链,Idea Lab,Directed,1,obsidian_link
方向链,Obsidian 知识图谱,Directed,1,obsidian_link
方向链,快乐科研闭环,Directed,1,obsidian_link
服务价值,AARRR 漏斗模型,Directed,2,obsidian_link
服务价值,SICAS模型,Directed,2,obsidian_link
服务价值,cnki_2021_3771e58987,Directed,1,obsidian_link
服务价值,cnki_2021_5530e86157,Directed,2,obsidian_link
服务价值,cnki_2021_645f03f388,Directed,2,obsidian_link
服务价值,library_short_video,Directed,1,obsidian_link
服务价值,互动营销,Directed,1,obsidian_link
服务价值,传播力评价,Directed,2,obsidian_link
服务价值,内容分析法,Directed,1,obsidian_link
服务价值,平台互动-服务触达-阅读转化,Directed,2,obsidian_link
服务价值,描述性账号调查,Directed,1,obsidian_link
服务价值,数字阅读推广,Directed,1,obsidian_link
服务价值,用户感知价值,Directed,1,obsidian_link
沉浸式内容,Hook Model 上瘾模型,Directed,2,obsidian_link
沉浸式内容,SICAS模型,Directed,2,obsidian_link
沉浸式内容,cnki_2023_34348faa1e,Directed,1,obsidian_link
沉浸式内容,描述性账号调查,Directed,1,obsidian_link
沉浸式内容,用户感知价值,Directed,2,obsidian_link
渠道营销,AARRR 漏斗模型,Directed,2,obsidian_link
渠道营销,cnki_2021_5530e86157,Directed,2,obsidian_link
渠道营销,头部账号实践提炼,Directed,1,obsidian_link
渠道营销,平台适配,Directed,2,obsidian_link
渠道营销,描述性账号调查,Directed,1,obsidian_link
渠道营销,数字阅读推广,Directed,1,obsidian_link
渠道营销,服务价值,Directed,1,obsidian_link
渠道营销,馆型差异,Directed,1,obsidian_link
熵权法,DCI传播力指数,Directed,1,obsidian_link
熵权法,cnki_2021_645f03f388,Directed,2,obsidian_link
熵权法,传播力评价,Directed,2,obsidian_link
熵权法,图书馆短视频内容质量评价,Directed,1,obsidian_link
熵权法,平台互动-服务触达-阅读转化,Directed,1,obsidian_link
熵权法,服务价值,Directed,1,obsidian_link
熵权法,爆款指数,Directed,1,obsidian_link
爆款指数,cnki_2021_645f03f388,Directed,2,obsidian_link
爆款指数,传播力评价,Directed,2,obsidian_link
爆款指数,内容分析法,Directed,1,obsidian_link
爆款指数,平台互动-服务触达-阅读转化,Directed,1,obsidian_link
爆款指数,服务价值,Directed,2,obsidian_link
爆款指数,熵权法,Directed,1,obsidian_link
用户感知价值,SICAS模型,Directed,2,obsidian_link
用户感知价值,cnki_2023_34348faa1e,Directed,1,obsidian_link
用户感知价值,library_short_video,Directed,1,obsidian_link
用户感知价值,描述性账号调查,Directed,1,obsidian_link
用户感知价值,沉浸式内容,Directed,1,obsidian_link
用户感知价值,软营销,Directed,1,obsidian_link
网络调查法,AARRR 漏斗模型,Directed,1,obsidian_link
网络调查法,cnki_2021_3771e58987,Directed,2,obsidian_link
网络调查法,library_short_video,Directed,1,obsidian_link
网络调查法,内容分析法,Directed,2,obsidian_link
网络调查法,平台适配,Directed,2,obsidian_link
网络调查法,描述性账号调查,Directed,1,obsidian_link
网络调查法,馆型差异,Directed,2,obsidian_link
软营销,SICAS模型,Directed,2,obsidian_link
软营销,cnki_2023_34348faa1e,Directed,1,obsidian_link
软营销,library_short_video,Directed,1,obsidian_link
软营销,描述性账号调查,Directed,1,obsidian_link
软营销,沉浸式内容,Directed,1,obsidian_link
软营销,用户感知价值,Directed,1,obsidian_link
馆型差异,AARRR 漏斗模型,Directed,1,obsidian_link
馆型差异,cnki_2021_3771e58987,Directed,2,obsidian_link
馆型差异,library_short_video,Directed,1,obsidian_link
馆型差异,图书馆短视频相关研究,Directed,1,obsidian_link
馆型差异,平台适配,Directed,2,obsidian_link
馆型差异,描述性账号调查,Directed,1,obsidian_link
馆型差异,服务价值,Directed,1,obsidian_link
馆型差异,网络调查法,Directed,1,obsidian_link
