rank,citekey,title,authors,year,source,score,cited_count,download_count,detail_url,preferred_filename_stem,incoming_dir,status,local_file,notes,intake_status,stored_path,message
1,cnki_2021_645f03f388,图书馆短视频账号传播力研究——以省级公共图书馆为例,王兴兰;夏晓红,2021,图书馆学研究,72.73,74,2082,https://kns.cnki.net/kcms2/article/abstract?v=zcrJ0BckwPMhkMJsKjGRSL2EEmNykAuMPWeJtnMK5ZaQhPvltIGFAnAlzH8FCjF15fbopX0_vv2s6saQ8-FQjOWlxVtEjMF2NB9kba1IRmyx07L6EGljnE0K2sG6dd11nXw9U80l4tIZ3DaYv4JIeRTr1rrf1bJvvwbUO8DWNfNMXnSMb2Xs3Q==&uniplatform=NZKPT&language=CHS,01_cnki_2021_645f03f388_图书馆短视频账号传播力研究——以省级公共图书馆为例,library/pdfs/library_short_video/incoming/2026-06-30,pending,,download PDF first; CAJ/KDH/NH accepted if PDF is unavailable,missing,,No matching file in incoming folder.
2,cnki_2021_2bcdca1cf9,短视频社会化阅读推广效果分析——以抖音短视频为例,徐彤阳;李婷,2021,图书馆,72.01,74,4127,https://kns.cnki.net/kcms2/article/abstract?v=zcrJ0BckwPNpXwO7ZmeQPqgsp492yscq2fkr9YnovUVEkM2Vtd5vX_3W5xx078hOuZy7rGZI1tLUHt-FZqND22czMtWQEVSscPX0u-IcOsspnA2AqLtax6fsAjHoSdiEUc2BiEMyaII3HU85c5WO6Ed_KyXZtBQ0eqeMcIFleLazKgeYiU3p_w==&uniplatform=NZKPT&language=CHS,02_cnki_2021_2bcdca1cf9_短视频社会化阅读推广效果分析——以抖音短视频为例,library/pdfs/library_short_video/incoming/2026-06-30,pending,,download PDF first; CAJ/KDH/NH accepted if PDF is unavailable,missing,,No matching file in incoming folder.
3,cnki_2021_c7cfb20665,我国省级公共图书馆抖音短视频运营现状调查分析,韩世曦;曾粤亮,2021,图书馆学研究,71.91,67,2064,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGPPJEzD3142ECm-yV93adu0qL0wytw3pZevqfTEV_DtR6TgZfu8PBHru-DLGnUmH-LO7NLuPc8MVLCKqjDpyXpwfCM4Ksolii6bSyOp-PIkwYOz9KxVqtHJE0Z6Z7nNbgO8bUAuav8Dvd-vQuL9smCCEt80EsUpCA5vD1k9OhHBSg==&uniplatform=NZKPT&language=CHS,03_cnki_2021_c7cfb20665_我国省级公共图书馆抖音短视频运营现状调查分析,library/pdfs/library_short_video/incoming/2026-06-30,pending,,download PDF first; CAJ/KDH/NH accepted if PDF is unavailable,missing,,No matching file in incoming folder.
4,cnki_2021_4d1ed48a48,短视频时代图书馆知识营销模式构建研究,储节旺;吴若航,2021,大学图书馆学报,71.6,71,3228,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGMtvQiHtHdcCT3XthlCujrjLf6a9fU_rlkSuUHG-GneoAp_KpKomBGvc-2umhXMjKwJzXvqwpHR9g4ZsBYR-cx02q-z5CewzeXE4bA0C9n3XZLrCP_zMqxVwrT5gdyDjT6WKssojSpeQYixz7XX1cy83KLKW-68ghP5CgffAcwXAw==&uniplatform=NZKPT&language=CHS,04_cnki_2021_4d1ed48a48_短视频时代图书馆知识营销模式构建研究,library/pdfs/library_short_video/incoming/2026-06-30,pending,,download PDF first; CAJ/KDH/NH accepted if PDF is unavailable,missing,,No matching file in incoming folder.
5,cnki_2021_9747478bfb,我国副省级及以上公共图书馆的短视频应用现状——以抖音为中心的调查,甘春梅;张梦金,2021,图书馆论坛,71.35,50,1213,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGOGDNv9yL0GbTE05CRvlzEsWp-tJy1OkcD8HdoAsXb13ZfSl-EJ2FNoxNWFPI7pRmK6NllN5_ALOrXmGeBWRvwdI3zbVNdqce1GnW78nwE7kPryqAmJjpGrXeDBFE8bXmdOb7WcFZYRvgMtniA-zXQQ4Vwl_NebwiS2RbRlHJWMFg==&uniplatform=NZKPT&language=CHS,05_cnki_2021_9747478bfb_我国副省级及以上公共图书馆的短视频应用现状——以抖音为中心的调查,library/pdfs/library_short_video/incoming/2026-06-30,pending,,download PDF first; CAJ/KDH/NH accepted if PDF is unavailable,missing,,No matching file in incoming folder.
6,cnki_2021_c8e47e2e81,图书馆“爆款”短视频特征分析及短视频平台运营策略研究,姜玲,2021,图书馆理论与实践,70.62,69,2670,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGNqT5bK9XQVZ8co-3ZYCAJUszV6dixF48ur7U_RgsFKhAI1scFqJpN_9Bk0K1PzxQ-NTmS-YGayTId-UDiGwlA969ABUH2jwiUZoZWa1g2DPDAL1xJU2WWjGFA7NRHdskcL9zMzEq03374KIWBJZ1QuDn38esCd5efaTGIBzBOv0w==&uniplatform=NZKPT&language=CHS,06_cnki_2021_c8e47e2e81_图书馆“爆款”短视频特征分析及短视频平台运营策略研究,library/pdfs/library_short_video/incoming/2026-06-30,pending,,download PDF first; CAJ/KDH/NH accepted if PDF is unavailable,missing,,No matching file in incoming folder.
7,cnki_2021_86b70a7c0f,短视频APP在图书馆阅读推广中的应用前景探析,牛国强,2021,图书馆工作与研究,69.96,72,1558,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGMtvQiHtHdcCT3XthlCujrjLf6a9fU_rllS7YTanB8yV_CUZRdeULrONuBAGKlFpkvv4N8b7NmGOZF8BiXKVJ2MxEjLkyrG4ImM1uP1BcMNjtF6bsdewGOiEUW4USvjTGJ5eT8aNcSpgMWVKtiXoK8rUrDfi4jBEdW-iLEMfwdo_Q==&uniplatform=NZKPT&language=CHS,07_cnki_2021_86b70a7c0f_短视频APP在图书馆阅读推广中的应用前景探析,library/pdfs/library_short_video/incoming/2026-06-30,pending,,download PDF first; CAJ/KDH/NH accepted if PDF is unavailable,missing,,No matching file in incoming folder.
8,cnki_2020_6bf0d72fd0,“使用与满足”理论视角下高校图书馆移动短视频服务机制构建,官凤婷,2020,新世纪图书馆,68.05,56,1507,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGMNZ_HSZ8z6ssx3n4xJsqELSS1xDU1dOEqLvAxN8nBh3IZX1hq9H3aD-bpxAqoRw074G6xkXevFuPqSgA9hHAPjr71teU-BMBUq04MYR5Pj4N27RNZ4e6_bVmL1N_D4bmdfXrMSFoZE7PnRlnjdDn0zZ6qj9K9G8Cncj7Rb2dVZ4A==&uniplatform=NZKPT&language=CHS,08_cnki_2020_6bf0d72fd0_“使用与满足”理论视角下高校图书馆移动短视频服务机制构建,library/pdfs/library_short_video/incoming/2026-06-30,pending,,download PDF first; CAJ/KDH/NH accepted if PDF is unavailable,missing,,No matching file in incoming folder.
9,cnki_2021_1853e8d80a,基于超效率DEA模型的图书馆短视频运营效率评价研究——以省级图书馆抖音公众号为例,赵月娥,2021,新世纪图书馆,67.5,37,1239,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGOgjbKl2J69qg36TBPL_tfUhjQi49qWM95xUJp2xL7_KuiysviycTjK3CuNTpwzgckYAKlsvvvYfJvY-EcnhpA9eDOJtXE48ZJ1Ce1QfFRcwm6talt0vMw09k1xMsuIaYFmOSkVqGmWjU-cY3DqHygkKkP0TWZd4EVewH794zuKUA==&uniplatform=NZKPT&language=CHS,09_cnki_2021_1853e8d80a_基于超效率DEA模型的图书馆短视频运营效率评价研究——以省级图书馆抖音公众号为例,library/pdfs/library_short_video/incoming/2026-06-30,pending,,download PDF first; CAJ/KDH/NH accepted if PDF is unavailable,missing,,No matching file in incoming folder.
10,cnki_2023_82f69af538,高校图书馆B站视频传播效果影响因素实证研究,丁大尉;李效阳,2023,图书情报工作,67.49,59,3341,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGNSDzI5DsvzdWFyziRPmodKW9wapaicWPuxx1I0t59wwFjr8hhppJ1hEeEFYVWg6b_lb_cew9nJN1Np10VLACRidRRpLIzX4NYNeiJib6pBVP-CKaeinFSxJlJOP0Lmt5jLdnMmuCQj41lJA0xpZrSctOO9YlwEF0h9qKT3esCe5Q==&uniplatform=NZKPT&language=CHS,10_cnki_2023_82f69af538_高校图书馆B站视频传播效果影响因素实证研究,library/pdfs/library_short_video/incoming/2026-06-30,pending,,download PDF first; CAJ/KDH/NH accepted if PDF is unavailable,missing,,No matching file in incoming folder.
11,cnki_2019_e5680a5c6f,国内图书馆移动短视频服务现状调查及启示——以抖音号为例,官凤婷,2019,山东图书馆学刊,66.97,54,957,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGOq3dMaw_c2VoeqtlCeIS7afNMg8nVNxH_LeOZbhiLkjDAn8j-IApO1Bq967eq2NPqvze8ucUMElwA-JzbxzKLEUXrLH8RngYvdiWP3gOln7noCYvnrJjsbEj8R35cnP5JiqOj62zoXSq6QbanIIUlBkSQECRteGB5ToZMKBy7SSg==&uniplatform=NZKPT&language=CHS,11_cnki_2019_e5680a5c6f_国内图书馆移动短视频服务现状调查及启示——以抖音号为例,library/pdfs/library_short_video/incoming/2026-06-30,pending,,download PDF first; CAJ/KDH/NH accepted if PDF is unavailable,missing,,No matching file in incoming folder.
12,cnki_2021_65ed123378,探索公共图书馆阅读推广新模式——以浙江图书馆官方抖音号“大咖来了”为例,单骅;洪烁,2021,图书馆杂志,66.7,46,1353,https://kns.cnki.net/kcms2/article/abstract?v=lcJiu7QxtGNb9qof646lyf-BzsjNXQo1d15nhRV12_1bEXwp5nvNqr231ubp5a94__EJ1rRD75d26QWGd-jMewnwtkS2bok_TdK4vUfxzMad4n5jxir3AvBC7m6wdqfpp2wxESLiPHHOwoeS0R6jQTZmi0GU26IX-CEABIM-2CzWdXRMI4K5Mg==&uniplatform=NZKPT&language=CHS,12_cnki_2021_65ed123378_探索公共图书馆阅读推广新模式——以浙江图书馆官方抖音号“大咖来了”为例,library/pdfs/library_short_video/incoming/2026-06-30,pending,,download PDF first; CAJ/KDH/NH accepted if PDF is unavailable,missing,,No matching file in incoming folder.
